id	name	now_prices	up_down_rates	up_downs	up_rates	turnover_rates	volume_ratios	amplitudes	turnovers	tradable_shares	market_values	pe_ratios
603180	N金牌	40.10	43.99	12.25	--	--	--	--	38.09万	--	--	--
000627	天茂集团	7.76	10.07	0.71	0.13	7.73	6.16	10.64	8.02亿	13.54亿	105.04亿	75.09
603505	金石资源	10.51	10.05	0.96	--	0.11	3.03	--	71.10万	6000.00万	6.31亿	95.01
300643	万通智控	9.97	10.04	0.91	--	--	1.99	--	16.98万	--	--	--
603113	金能科技	21.18	10.03	1.93	--	--	0.60	--	36.53万	--	--	--
300649	杭州园林	20.97	10.02	1.91	--	--	2.19	--	12.58万	--	--	--
603399	新华龙	11.42	10.02	1.04	--	3.84	3.01	8.86	2.14亿	4.99亿	57.01亿	988.08
603320	迪贝电气	30.64	10.02	2.79	--	0.60	4.52	--	461.10万	2500.00万	7.66亿	50.88
002871	伟隆股份	24.38	10.02	2.22	--	--	0.76	--	8.53万	--	--	--
300647	超频三  	25.15	10.02	2.29	--	0.16	4.50	--	120.74万	3000.00万	7.54亿	89.64
603728	鸣志电器	21.53	10.02	1.96	--	--	4.36	--	154.80万	--	--	--
002492	恒基达鑫	7.69	10.01	0.70	--	5.37	2.73	12.73	1.42亿	3.53亿	27.16亿	67.89
603826	坤彩科技	25.71	10.01	2.34	--	44.05	0.99	11.12	9.62亿	9000.00万	23.14亿	88.12
603501	韦尔股份	17.91	10.01	1.63	--	--	6.66	--	174.00万	--	--	--
603896	寿仙谷	20.11	10.01	1.83	--	--	1.07	--	15.95万	--	--	--
002158	汉钟精机	19.67	10.01	1.79	--	21.69	1.43	10.96	22.12亿	5.30亿	104.33亿	105.87
300651	金陵体育	26.27	10.01	2.39	--	--	1.36	--	16.08万	--	--	--
603985	恒润股份	62.55	10.01	5.69	--	--	1.46	--	4756.93万	--	--	--
300514	友讯达  	34.74	10.01	3.16	--	1.58	5.75	--	1368.47万	2500.00万	8.69亿	98.89
002868	绿康生化	42.67	10.00	3.88	--	17.19	20.52	3.20	2.18亿	3000.00万	12.80亿	48.28
300650	太龙照明	39.15	10.00	3.56	--	0.28	3.05	--	173.04万	1578.70万	6.18亿	156.61
603086	先达股份	27.94	10.00	2.54	--	--	0.49	--	8.38万	--	--	--
300546	雄帝科技	38.17	10.00	3.47	--	20.77	1.45	10.55	1.04亿	1334.00万	5.09亿	93.21
603817	海峡环保	19.36	10.00	1.76	--	15.00	2.03	11.65	3.13亿	1.12亿	21.78亿	97.28
002806	华锋股份	42.57	10.00	3.87	--	7.34	1.49	7.29	6179.68万	2000.00万	8.51亿	245.12
603787	新日股份	22.77	10.00	2.07	--	0.58	1.35	--	673.29万	5100.00万	11.61亿	75.71
603603	博天环境	46.32	10.00	4.21	--	39.50	1.57	2.80	7.30亿	4001.00万	18.53亿	182.72
