id	name	now_prices	up_down_rates	up_downs	up_rates	turnover_rates	volume_ratios	amplitudes	turnovers	tradable_shares	market_values	pe_ratios
000151	中成股份	19.17	9.98	1.74	--	9.71	2.22	11.30	4.88亿	2.67亿	51.10亿	64.02
000856	冀东装备	42.80	9.32	3.65	0.23	31.10	0.93	13.54	28.36亿	2.27亿	97.16亿	979.87
000401	冀东水泥	18.25	7.54	1.28	-0.16	9.39	1.03	7.48	22.38亿	13.47亿	245.85亿	--
000507	珠海港  	8.81	6.02	0.50	--	7.96	0.92	10.83	5.22亿	7.72亿	68.03亿	113.93
000045	深纺织Ａ	11.69	5.70	0.63	0.26	3.25	1.35	9.22	1.70亿	4.57亿	53.43亿	344.09
000928	中钢国际	17.95	5.65	0.96	--	4.63	1.08	5.59	3.35亿	4.13亿	74.11亿	30.83
000905	厦门港务	12.87	4.46	0.55	0.08	3.93	1.10	8.77	2.61亿	5.31亿	68.34亿	80.16
000651	格力电器	32.88	4.45	1.40	-0.03	1.66	1.29	5.50	31.87亿	59.71亿	1963.13亿	12.32
000065	北方国际	27.75	4.40	1.17	--	1.98	0.69	5.49	2.15亿	4.01亿	111.14亿	50.88
000600	建投能源	12.05	4.24	0.49	0.08	4.94	0.68	8.30	6.31亿	10.90亿	131.35亿	23.96
000011	深物业A 	17.20	4.18	0.69	0.06	6.73	1.54	6.66	1.99亿	1.76亿	30.25亿	8.50
000605	渤海股份	31.99	4.03	1.24	0.16	25.84	0.90	8.36	9.95亿	1.23亿	39.42亿	272.01
000088	盐 田 港	8.69	3.95	0.33	-0.12	1.49	0.98	8.61	2.45亿	19.42亿	168.78亿	53.00
000022	深赤湾Ａ	23.38	3.59	0.81	0.09	1.84	1.06	6.96	1.95亿	4.65亿	108.69亿	27.14
000663	永安林业	12.17	3.31	0.39	--	3.75	3.97	5.77	8701.09万	1.89亿	23.03亿	--
000720	新能泰山	5.06	3.27	0.16	--	1.28	2.91	10.82	5616.45万	8.63亿	43.69亿	--
000863	三湘印象	7.33	3.24	0.23	0.14	0.85	1.98	3.94	5591.52万	9.11亿	66.77亿	29.69
000918	嘉凯城  	7.68	3.23	0.24	--	0.76	1.60	4.57	1.04亿	18.04亿	138.56亿	--
000050	深天马Ａ	18.05	3.20	0.56	0.06	3.08	1.20	3.66	6.65亿	12.12亿	218.85亿	28.08
000970	中科三环	13.91	3.19	0.43	-0.07	1.30	1.17	4.30	1.89亿	10.65亿	148.17亿	50.96
000778	新兴铸管	7.21	3.15	0.22	0.42	7.46	0.85	7.15	19.03亿	36.43亿	262.66亿	31.20
000418	小天鹅Ａ	45.18	3.13	1.37	0.07	0.69	1.24	5.48	1.34亿	4.39亿	198.13亿	17.99
000002	万  科Ａ	19.24	3.05	0.57	--	0.36	2.29	4.82	6.62亿	97.09亿	1868.02亿	76.36
000544	中原环保	18.35	2.97	0.53	0.06	1.25	2.08	7.41	6088.02万	2.69亿	49.45亿	52.41
000568	泸州老窖	46.00	2.93	1.31	0.02	0.57	1.11	3.76	3.62亿	14.02亿	644.82亿	20.22
000014	沙河股份	17.23	2.93	0.49	--	1.77	1.61	5.02	6005.19万	2.02亿	34.75亿	--
000063	中兴通讯	17.30	2.92	0.49	0.06	0.79	0.99	3.93	4.58亿	34.24亿	592.40亿	14.91
000811	烟台冰轮	17.10	2.89	0.48	0.06	1.99	0.58	3.85	1.34亿	4.03亿	68.95亿	21.07
000608	阳光股份	7.92	2.86	0.22	--	0.84	2.02	6.62	4921.41万	7.50亿	59.38亿	--
000709	河钢股份	4.37	2.82	0.12	--	3.21	0.72	4.71	14.60亿	106.17亿	463.96亿	17.87
000959	首钢股份	6.81	2.71	0.18	0.15	0.62	1.23	7.09	1.20亿	29.67亿	202.02亿	18.13
000680	山推股份	5.80	2.65	0.15	0.17	2.82	0.84	5.13	1.70亿	10.57亿	61.30亿	106.85
000692	惠天热电	6.63	2.63	0.17	--	2.51	2.38	4.80	8754.83万	5.33亿	35.32亿	17.04
000615	京汉股份	17.42	2.59	0.44	--	20.38	0.67	5.48	12.39亿	3.54亿	61.72亿	--
000965	天保基建	7.97	2.57	0.20	0.13	4.57	0.63	6.82	3.57亿	10.09亿	80.41亿	11.38
000951	中国重汽	12.58	2.53	0.31	0.08	0.56	1.24	4.40	4689.97万	6.71亿	84.39亿	12.58
000413	东旭光电	9.90	2.48	0.24	0.10	2.21	1.35	3.83	6.49亿	29.89亿	295.95亿	31.13
000786	北新建材	13.70	2.39	0.32	--	3.00	0.75	5.46	5.56亿	13.78亿	188.74亿	40.93
000028	国药一致	74.72	2.36	1.72	0.16	0.29	0.99	4.53	6654.95万	3.08亿	229.95亿	29.34
000400	许继电气	16.53	2.35	0.38	--	0.91	1.98	6.13	1.46亿	10.08亿	166.65亿	83.89
000534	万泽股份	12.25	2.34	0.28	--	0.63	1.72	4.34	3745.12万	4.91亿	60.18亿	--
000802	北京文化	14.22	2.30	0.32	--	1.13	1.64	4.10	6015.28万	3.80亿	54.03亿	515.35
